user_id,flag_name,variant,assigned_at
u0001,onboarding_wizard_v2,classic,2026-04-01
u0002,onboarding_wizard_v2,classic,2026-04-01
u0003,onboarding_wizard_v2,classic,2026-04-01
u0004,onboarding_wizard_v2,classic,2026-04-01
u0005,onboarding_wizard_v2,classic,2026-04-01
u0006,onboarding_wizard_v2,classic,2026-04-01
u0007,onboarding_wizard_v2,classic,2026-04-01
u0008,onboarding_wizard_v2,classic,2026-04-01
u0009,onboarding_wizard_v2,classic,2026-04-01
u0010,onboarding_wizard_v2,classic,2026-04-01
u0011,onboarding_wizard_v2,classic,2026-04-01
u0012,onboarding_wizard_v2,classic,2026-04-01
u0013,onboarding_wizard_v2,classic,2026-04-02
u0014,onboarding_wizard_v2,classic,2026-04-02
u0015,onboarding_wizard_v2,classic,2026-04-02
u0016,onboarding_wizard_v2,classic,2026-04-02
u0017,onboarding_wizard_v2,classic,2026-04-02
u0018,onboarding_wizard_v2,classic,2026-04-02
u0019,onboarding_wizard_v2,classic,2026-04-02
u0020,onboarding_wizard_v2,classic,2026-04-02
u0021,onboarding_wizard_v2,classic,2026-04-02
u0022,onboarding_wizard_v2,classic,2026-04-02
u0023,onboarding_wizard_v2,classic,2026-04-02
u0024,onboarding_wizard_v2,classic,2026-04-02
u0025,onboarding_wizard_v2,classic,2026-04-03
u0026,onboarding_wizard_v2,classic,2026-04-03
u0027,onboarding_wizard_v2,classic,2026-04-03
u0028,onboarding_wizard_v2,classic,2026-04-03
u0029,onboarding_wizard_v2,classic,2026-04-03
u0030,onboarding_wizard_v2,classic,2026-04-03
u0031,onboarding_wizard_v2,classic,2026-04-03
u0032,onboarding_wizard_v2,classic,2026-04-03
u0033,onboarding_wizard_v2,classic,2026-04-03
u0034,onboarding_wizard_v2,classic,2026-04-03
u0035,onboarding_wizard_v2,classic,2026-04-03
u0036,onboarding_wizard_v2,classic,2026-04-03
u0037,onboarding_wizard_v2,classic,2026-04-04
u0038,onboarding_wizard_v2,classic,2026-04-04
u0039,onboarding_wizard_v2,classic,2026-04-04
u0040,onboarding_wizard_v2,classic,2026-04-04
u0041,onboarding_wizard_v2,classic,2026-04-04
u0042,onboarding_wizard_v2,classic,2026-04-04
