user_id,event_time,event_name,step_order,session_id
u0001,2026-04-01,signup,1,s0001
u0001,2026-04-01,workspace_created,2,s0001
u0001,2026-04-01,invite_sent,3,s0001
u0001,2026-04-01,project_created,4,s0001
u0001,2026-04-01,activated,5,s0001
u0002,2026-04-01,signup,1,s0002
u0002,2026-04-01,workspace_created,2,s0002
u0002,2026-04-01,invite_sent,3,s0002
u0002,2026-04-01,project_created,4,s0002
u0002,2026-04-01,activated,5,s0002
u0003,2026-04-01,signup,1,s0003
u0003,2026-04-01,workspace_created,2,s0003
u0003,2026-04-01,invite_sent,3,s0003
u0003,2026-04-01,project_created,4,s0003
u0003,2026-04-01,activated,5,s0003
u0004,2026-04-01,signup,1,s0004
u0004,2026-04-01,workspace_created,2,s0004
u0004,2026-04-01,invite_sent,3,s0004
u0004,2026-04-01,project_created,4,s0004
u0004,2026-04-01,activated,5,s0004
u0005,2026-04-01,signup,1,s0005
u0005,2026-04-01,workspace_created,2,s0005
u0005,2026-04-01,invite_sent,3,s0005
u0005,2026-04-01,project_created,4,s0005
u0005,2026-04-01,activated,5,s0005
u0006,2026-04-01,signup,1,s0006
u0006,2026-04-01,workspace_created,2,s0006
u0006,2026-04-01,invite_sent,3,s0006
u0006,2026-04-01,project_created,4,s0006
u0006,2026-04-01,activated,5,s0006
u0007,2026-04-01,signup,1,s0007
u0007,2026-04-01,workspace_created,2,s0007
u0007,2026-04-01,invite_sent,3,s0007
u0008,2026-04-01,signup,1,s0008
u0008,2026-04-01,workspace_created,2,s0008
u0008,2026-04-01,invite_sent,3,s0008
u0009,2026-04-01,signup,1,s0009
u0009,2026-04-01,workspace_created,2,s0009
u0009,2026-04-01,invite_sent,3,s0009
u0010,2026-04-01,signup,1,s0010
u0010,2026-04-01,workspace_created,2,s0010
u0010,2026-04-01,invite_sent,3,s0010
u0010,2026-04-01,project_created,4,s0010
u0010,2026-04-01,activated,5,s0010
u0011,2026-04-01,signup,1,s0011
u0011,2026-04-01,workspace_created,2,s0011
u0011,2026-04-01,invite_sent,3,s0011
u0011,2026-04-01,project_created,4,s0011
u0011,2026-04-01,activated,5,s0011
u0012,2026-04-01,signup,1,s0012
u0012,2026-04-01,workspace_created,2,s0012
u0012,2026-04-01,invite_sent,3,s0012
u0012,2026-04-01,project_created,4,s0012
u0012,2026-04-01,activated,5,s0012
u0013,2026-04-02,signup,1,s0013
u0013,2026-04-02,workspace_created,2,s0013
u0013,2026-04-02,invite_sent,3,s0013
u0013,2026-04-02,project_created,4,s0013
